STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130701,185,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130702,15,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130703,244,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130704,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130705,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130706,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130707,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130708,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130709,15,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130710,5,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130711,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130712,56,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130713,5,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130714,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130715,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130716,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130717,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130718,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130719,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130720,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130721,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130722,69,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130723,79,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130724,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130725,5,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130726,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130727,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130728,33,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130729,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130730,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130731,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130801,127,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130802,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130803,3,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130804,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130805,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130806,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130807,3,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130808,51,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130809,18,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130810,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130811,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130812,23,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130813,188,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130814,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130815,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130816,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130817,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130818,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130819,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130820,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130821,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130822,61,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130823,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130824,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130825,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130826,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130827,3,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130828,25,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130829,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130830,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130831,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130901,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130902,229,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130903,23,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130904,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130905,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130906,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130907,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130908,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130909,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130910,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130911,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130912,323,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130913,8,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130914,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130915,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130916,5,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130917,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130918,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130919,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130920,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130921,114,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130922,135,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130923,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130924,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130925,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130926,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130927,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130928,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130929,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130930,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131001,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131002,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131003,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131004,8,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131005,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131006,3,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131007,84,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131008,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131009,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131010,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131011,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131012,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131013,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131014,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131015,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131016,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131017,3,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131018,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131019,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131020,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131021,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131022,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131023,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131024,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131025,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131026,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131027,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131028,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131029,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131030,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131031,13,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131101,13,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131102,3,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131103,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131104,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131105,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131106,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131107,20,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131108,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131109,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131110,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131111,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131112,8,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131113,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131114,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131115,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131116,13,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131117,5,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131118,58,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131119,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131120,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131121,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131122,18,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131123,5,0,5
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131124,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131125,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131126,119,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131127,442,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131128,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131129,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131130,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131201,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131202,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131203,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131204,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131205,3,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131206,185,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131207,33,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131208,13,0,18
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131209,53,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131210,56,0,28
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131211,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131212,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131213,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131214,112,0,119
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131215,196,50,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131216,0,30,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131217,41,30,28
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131218,0,30,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131219,0,30,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131220,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131221,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131222,3,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131223,135,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131224,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131225,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131226,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131227,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131228,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131229,305,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131230,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20131231,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140101,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140102,46,0,86
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140103,64,180,114
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140104,0,200,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140105,25,100,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140106,79,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140107,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140108,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140109,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140110,38,0,3
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140111,127,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140112,5,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140113,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140114,97,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140115,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140116,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140117,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140118,38,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140119,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140120,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140121,64,0,206
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140122,0,200,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140123,0,130,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140124,0,100,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140125,5,100,5
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140126,0,100,3
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140127,0,80,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140128,0,30,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140129,13,30,8
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140130,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140131,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140201,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140202,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140203,274,30,196
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140204,0,180,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140205,300,200,84
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140206,0,180,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140207,0,150,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140208,0,150,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140209,25,150,30
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140210,0,180,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140211,0,180,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140212,0,150,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140213,427,230,196
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140214,64,330,81
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140215,25,230,76
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140216,0,300,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140217,0,280,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140218,38,250,38
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140219,64,250,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140220,5,180,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140221,28,130,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140222,0,30,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140223,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140224,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140225,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140226,3,0,5
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140227,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140228,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140301,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140302,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140303,3,0,10
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140304,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140305,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140306,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140307,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140308,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140309,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140310,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140311,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140312,89,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140313,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140314,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140315,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140316,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140317,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140318,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140319,251,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140320,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140321,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140322,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140323,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140324,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140325,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140326,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140327,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140328,8,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140329,455,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140330,94,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140331,30,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140401,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140402,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140403,18,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140404,48,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140405,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140406,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140407,168,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140408,86,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140409,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140410,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140411,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140412,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140413,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140414,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140415,221,0,3
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140416,13,0,5
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140417,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140418,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140419,0,0,0
